mcc,mnc,lac,cellid,lat,lon,signal,measured_at,rating,speed,direction,act,ta,psc,tac,pci,sid,nid,bid
404,22,55719,14135809,18.5404148,73.7297169,-123,1774195973062,7.8,0.17058724,105.52651,LTE,1,,55719,90,,,
404,22,55719,14135809,18.5403728,73.7298264,-123,1774195979368,22.0,0.18740584,106.31798,LTE,2,,55719,90,,,
404,22,55719,14135809,18.5403607,73.7298752,-91,1774195985652,38.5,0.62677264,87.97701,LTE,1,,55719,90,,,
404,22,55719,14135819,18.5403028,73.7299645,-86,1774195990658,12.2,0.35670325,110.248055,LTE,3,,55719,90,,,
404,22,55719,14135819,18.5401905,73.7299907,-86,1774195995175,7.1,1.1181328,234.11009,LTE,3,,55719,90,,,
404,22,55719,14135819,18.5401603,73.7299204,-93,1774196000071,5.9,1.279101,217.50125,LTE,2,,55719,90,,,
404,22,55719,63771405,18.5401366,73.7298939,-78,1774196005174,7.4,1.1638896,234.95168,LTE,3,,55719,170,,,
404,22,55719,63771405,18.5401063,73.72983,-86,1774196010160,7.2,1.1099392,240.74768,LTE,3,,55719,170,,,
404,22,55719,63771405,18.5400645,73.7297745,-85,1774196015437,5.8,1.1061916,211.42155,LTE,3,,55719,170,,,
404,22,55719,14135820,18.5400201,73.7297313,-81,1774196020295,6.2,1.1562825,217.7385,LTE,3,,55719,94,,,
404,22,55719,14135820,18.5399595,73.7297086,-82,1774196025739,5.7,1.1538441,194.48535,LTE,2,,55719,94,,,
404,22,55719,14135820,18.5399065,73.7296987,-85,1774196030615,5.8,1.1505305,176.7307,LTE,2,,55719,94,,,
404,22,55719,14135820,18.5398616,73.7297315,-87,1774196036060,5.5,1.1466506,129.76205,LTE,2,,55719,94,,,
404,22,55719,14135820,18.5398478,73.7297779,-83,1774196040779,5.4,1.1319345,94.448044,LTE,3,,55719,94,,,
404,22,55719,14135820,18.5398563,73.7298598,-83,1774196045718,5.6,1.1193371,58.36311,LTE,2,,55719,94,,,
404,22,55719,14135820,18.5398857,73.7299044,-84,1774196050516,5.8,1.0149248,59.12249,LTE,2,,55719,94,,,
404,22,55719,14135820,18.5399385,73.7299417,-85,1774196056039,7.0,1.0311925,32.400078,LTE,2,,55719,94,,,
404,22,55719,14135820,18.5399565,73.730026,-85,1774196061552,5.7,1.0741239,97.67698,LTE,3,,55719,94,,,
404,22,55719,14135820,18.5399512,73.7300866,-83,1774196066459,5.4,1.14171,96.643166,LTE,2,,55719,94,,,
404,22,55719,14135820,18.5399719,73.7301433,-85,1774196071492,6.3,1.08961,82.83289,LTE,3,,55719,94,,,
404,22,55719,14135820,18.5400109,73.7301654,-84,1774196076559,5.8,0.8391981,127.891525,LTE,3,,55719,94,,,
404,22,55719,14135820,18.5399857,73.730172,-87,1774196081451,5.7,0.94072264,157.32085,LTE,3,,55719,94,,,
404,22,55719,14135819,18.5399512,73.7301604,-44,1774196086299,6.0,1.1614392,189.57498,LTE,4,,55719,90,,,
404,22,55719,14135819,18.5399248,73.7301742,-90,1774196091255,5.9,1.1590011,176.0524,LTE,3,,55719,90,,,
404,22,55719,14135819,18.5399376,73.7302065,-88,1774196092574,5.9,1.1110504,115.53894,LTE,3,,55719,90,,,
404,22,55719,14135819,18.5399892,73.7302273,-88,1774196097499,21.9,1.0703521,88.49257,LTE,3,,55719,90,,,
404,22,55719,14135819,18.5400144,73.7301982,-84,1774196102196,23.1,0.88257456,335.99487,LTE,3,,55719,90,,,
404,22,55719,14135819,18.5400742,73.7301518,-82,1774196107358,6.4,1.0321741,345.1821,LTE,3,,55719,90,,,
404,22,55719,14135819,18.5401127,73.7300936,-85,1774196112179,4.5,1.0740252,309.46872,LTE,3,,55719,90,,,
404,22,55719,14135819,18.5401374,73.7300442,-85,1774196117161,5.2,1.0394222,312.9578,LTE,3,,55719,90,,,
404,22,55719,14135819,18.5401671,73.7300397,-89,1774196122105,5.6,0.9808389,337.7266,LTE,2,,55719,90,,,
404,22,55719,14135819,18.5402181,73.7300478,-87,1774196126782,6.2,1.08593,11.122887,LTE,3,,55719,90,,,
404,22,55719,63771403,18.5402536,73.7300717,-74,1774196131424,6.3,1.0817785,34.273354,LTE,4,,55719,162,,,
404,22,55719,63771403,18.5403162,73.7300801,-75,1774196136760,6.3,1.1159359,13.674085,LTE,3,,55719,162,,,
404,22,55719,63771403,18.5403642,73.7300994,-74,1774196142242,6.5,1.099939,23.232065,LTE,3,,55719,162,,,
